uri,handle,text,createdAt,record
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lktlkvngcc2k,bsky.app,publishers have already shared that theyre receiving more and higherquality engagement bluesky compared to legacy platforms referral metrics help newsrooms more accurately measure blueskys role in reaching their audiences,2025-03-20T20:57:11.275Z,"{""uri"": ""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lktlkvngcc2k"", ""handle"": ""bsky.app"", ""text"": ""publishers have already shared that theyre receiving more and higherquality engagement bluesky compared to legacy platforms referral metrics help newsrooms more accurately measure blueskys role in reaching their audiences"", ""createdAt"": ""2025-03-20T20:57:11.275Z"", ""record"": ""{\""uri\"": \""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lktlkvngcc2k\"", \""handle\"": \""bsky.app\"", \""text\"": \""publishers have already shared that theyre receiving more and higherquality engagement bluesky compared to legacy platforms referral metrics help newsrooms more accurately measure blueskys role in reaching their audiences\"", \""createdAt\"": \""2025-03-20T20:57:11.275Z\"", \""record\"": \""{\\\""uri\\\"": \\\""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lktlkvngcc2k\\\"", \\\""handle\\\"": \\\""bsky.app\\\"", \\\""text\\\"": \\\""publishers have already shared that theyre receiving more and higherquality engagement bluesky compared to legacy platforms referral metrics help newsrooms more accurately measure blueskys role in reaching their audiences\\\"", \\\""createdAt\\\"": \\\""2025-03-20T20:57:11.275Z\\\"", \\\""record\\\"": \\\""{\\\\\\\""uri\\\\\\\"": \\\\\\\""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lktlkvngcc2k\\\\\\\"", \\\\\\\""handle\\\\\\\"": \\\\\\\""bsky.app\\\\\\\"", \\\\\\\""text\\\\\\\"": \\\\\\\""publishers have already shared that theyre receiving more and higherquality engagement bluesky compared to legacy platforms referral metrics help newsrooms more accurately measure blueskys role in reaching their audiences\\\\\\\"", \\\\\\\""createdAt\\\\\\\"": \\\\\\\""2025-03-20T20:57:11.275Z\\\\\\\"", \\\\\\\""record\\\\\\\"": \\\\\\\""{\\\\\\\\\\\\\\\""uri\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lktlkvngcc2k\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""handle\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""bsky.app\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""text\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""publishers have already shared that theyre receiving more and higherquality engagement bluesky compared to legacy platforms referral metrics help newsrooms more accurately measure blueskys role in reaching their audiences\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""createdAt\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""2025-03-20T20:57:11.275Z\\\\\\\\\\\\\\\""}\\\\\\\""}\\\""}\""}""}"
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lktlkvneds2k,bsky.app,we view the bluesky app a lobby to the open social web and we dont demote or throttle links we believe it should be easy for you to connect your social following here with your web presence elsewhere,2025-03-20T20:57:11.274Z,"{""uri"": ""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lktlkvneds2k"", ""handle"": ""bsky.app"", ""text"": ""we view the bluesky app a lobby to the open social web and we dont demote or throttle links we believe it should be easy for you to connect your social following here with your web presence elsewhere"", ""createdAt"": ""2025-03-20T20:57:11.274Z"", ""record"": ""{\""uri\"": \""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lktlkvneds2k\"", \""handle\"": \""bsky.app\"", \""text\"": \""we view the bluesky app a lobby to the open social web and we dont demote or throttle links we believe it should be easy for you to connect your social following here with your web presence elsewhere\"", \""createdAt\"": \""2025-03-20T20:57:11.274Z\"", \""record\"": \""{\\\""uri\\\"": \\\""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lktlkvneds2k\\\"", \\\""handle\\\"": \\\""bsky.app\\\"", \\\""text\\\"": \\\""we view the bluesky app a lobby to the open social web and we dont demote or throttle links we believe it should be easy for you to connect your social following here with your web presence elsewhere\\\"", \\\""createdAt\\\"": \\\""2025-03-20T20:57:11.274Z\\\"", \\\""record\\\"": \\\""{\\\\\\\""uri\\\\\\\"": \\\\\\\""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lktlkvneds2k\\\\\\\"", \\\\\\\""handle\\\\\\\"": \\\\\\\""bsky.app\\\\\\\"", \\\\\\\""text\\\\\\\"": \\\\\\\""we view the bluesky app a lobby to the open social web and we dont demote or throttle links we believe it should be easy for you to connect your social following here with your web presence elsewhere\\\\\\\"", \\\\\\\""createdAt\\\\\\\"": \\\\\\\""2025-03-20T20:57:11.274Z\\\\\\\"", \\\\\\\""record\\\\\\\"": \\\\\\\""{\\\\\\\\\\\\\\\""uri\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lktlkvneds2k\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""handle\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""bsky.app\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""text\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""We view the Bluesky app as a lobby to the open social web, and we don't demote or throttle links.\\\\\\\\\\\\\\\\n\\\\\\\\\\\\\\\\nWe believe it should be easy for you to connect your social following here with your web presence elsewhere.\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""createdAt\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""2025-03-20T20:57:11.274Z\\\\\\\\\\\\\\\""}\\\\\\\""}\\\""}\""}""}"
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lktlkvn2lc2k,bsky.app,we links starting this week weve made it even easier for newsrooms and more to track how much traffic bluesky is sending to their sites for those setting up analytics blueskys referrer is gobskyapp,2025-03-20T20:57:11.273Z,"{""uri"": ""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lktlkvn2lc2k"", ""handle"": ""bsky.app"", ""text"": ""we links starting this week weve made it even easier for newsrooms and more to track how much traffic bluesky is sending to their sites for those setting up analytics blueskys referrer is gobskyapp"", ""createdAt"": ""2025-03-20T20:57:11.273Z"", ""record"": ""{\""uri\"": \""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lktlkvn2lc2k\"", \""handle\"": \""bsky.app\"", \""text\"": \""we links starting this week weve made it even easier for newsrooms and more to track how much traffic bluesky is sending to their sites for those setting up analytics blueskys referrer is gobskyapp\"", \""createdAt\"": \""2025-03-20T20:57:11.273Z\"", \""record\"": \""{\\\""uri\\\"": \\\""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lktlkvn2lc2k\\\"", \\\""handle\\\"": \\\""bsky.app\\\"", \\\""text\\\"": \\\""we links starting this week weve made it even easier for newsrooms and more to track how much traffic bluesky is sending to their sites for those setting up analytics blueskys referrer is gobskyapp\\\"", \\\""createdAt\\\"": \\\""2025-03-20T20:57:11.273Z\\\"", \\\""record\\\"": \\\""{\\\\\\\""uri\\\\\\\"": \\\\\\\""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lktlkvn2lc2k\\\\\\\"", \\\\\\\""handle\\\\\\\"": \\\\\\\""bsky.app\\\\\\\"", \\\\\\\""text\\\\\\\"": \\\\\\\""We 💙 links!\\\\\\\\n\\\\\\\\nStarting this week, we've made it even easier for newsrooms and more to track how much traffic Bluesky is sending to their sites.\\\\\\\\n\\\\\\\\nFor those setting up analytics, Bluesky's referrer is go.bsky.app.\\\\\\\"", \\\\\\\""createdAt\\\\\\\"": \\\\\\\""2025-03-20T20:57:11.273Z\\\\\\\"", \\\\\\\""record\\\\\\\"": \\\\\\\""{\\\\\\\\\\\\\\\""uri\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lktlkvn2lc2k\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""handle\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""bsky.app\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""text\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""We 💙 links!\\\\\\\\\\\\\\\\n\\\\\\\\\\\\\\\\nStarting this week, we've made it even easier for newsrooms and more to track how much traffic Bluesky is sending to their sites.\\\\\\\\\\\\\\\\n\\\\\\\\\\\\\\\\nFor those setting up analytics, Bluesky's referrer is go.bsky.app.\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""createdAt\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""2025-03-20T20:57:11.273Z\\\\\\\\\\\\\\\""}\\\\\\\""}\\\""}\""}""}"
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lkodsrv3os2h,bsky.app,be sure to place an order within 7 days added a xxl size to accommodate the high demand and ensure that everyone who wants a shirt can get one were unable to subsidize shipping costs for this drop thanks for understanding worldwithoutcaesarscom,2025-03-18T18:55:06.017Z,"{""uri"": ""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lkodsrv3os2h"", ""handle"": ""bsky.app"", ""text"": ""be sure to place an order within 7 days added a xxl size to accommodate the high demand and ensure that everyone who wants a shirt can get one were unable to subsidize shipping costs for this drop thanks for understanding worldwithoutcaesarscom"", ""createdAt"": ""2025-03-18T18:55:06.017Z"", ""record"": ""{\""uri\"": \""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lkodsrv3os2h\"", \""handle\"": \""bsky.app\"", \""text\"": \""be sure to place an order within 7 days added a xxl size to accommodate the high demand and ensure that everyone who wants a shirt can get one were unable to subsidize shipping costs for this drop thanks for understanding worldwithoutcaesarscom\"", \""createdAt\"": \""2025-03-18T18:55:06.017Z\"", \""record\"": \""{\\\""uri\\\"": \\\""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lkodsrv3os2h\\\"", \\\""handle\\\"": \\\""bsky.app\\\"", \\\""text\\\"": \\\""• Be sure to place an order within 7 days.\\\\n• Added a XXL size.\\\\n• To accommodate the high demand and ensure that everyone who wants a shirt can get one, we're unable to subsidize shipping costs for this drop. Thanks for understanding!\\\\n\\\\nworldwithoutcaesars.com\\\"", \\\""createdAt\\\"": \\\""2025-03-18T18:55:06.017Z\\\"", \\\""record\\\"": \\\""{\\\\\\\""uri\\\\\\\"": \\\\\\\""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lkodsrv3os2h\\\\\\\"", \\\\\\\""handle\\\\\\\"": \\\\\\\""bsky.app\\\\\\\"", \\\\\\\""text\\\\\\\"": \\\\\\\""• Be sure to place an order within 7 days.\\\\\\\\n• Added a XXL size.\\\\\\\\n• To accommodate the high demand and ensure that everyone who wants a shirt can get one, we're unable to subsidize shipping costs for this drop. Thanks for understanding!\\\\\\\\n\\\\\\\\nworldwithoutcaesars.com\\\\\\\"", \\\\\\\""createdAt\\\\\\\"": \\\\\\\""2025-03-18T18:55:06.017Z\\\\\\\"", \\\\\\\""record\\\\\\\"": \\\\\\\""{\\\\\\\\\\\\\\\""uri\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lkodsrv3os2h\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""handle\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""bsky.app\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""text\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""• Be sure to place an order within 7 days.\\\\\\\\\\\\\\\\n• Added a XXL size.\\\\\\\\\\\\\\\\n• To accommodate the high demand and ensure that everyone who wants a shirt can get one, we're unable to subsidize shipping costs for this drop. Thanks for understanding!\\\\\\\\\\\\\\\\n\\\\\\\\\\\\\\\\nworldwithoutcaesars.com\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""createdAt\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""2025-03-18T18:55:06.017Z\\\\\\\\\\\\\\\""}\\\\\\\""}\\\""}\""}""}"
at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lkodsqshc22h,bsky.app,the shirts are back in stock worldwithoutcaesarscom,2025-03-18T18:55:06.016Z,"{""uri"": ""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lkodsqshc22h"", ""handle"": ""bsky.app"", ""text"": ""the shirts are back in stock worldwithoutcaesarscom"", ""createdAt"": ""2025-03-18T18:55:06.016Z"", ""record"": ""{\""uri\"": \""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lkodsqshc22h\"", \""handle\"": \""bsky.app\"", \""text\"": \""THE SHIRTS ARE BACK IN STOCK\\n\\nworldwithoutcaesars.com\"", \""createdAt\"": \""2025-03-18T18:55:06.016Z\"", \""record\"": \""{\\\""uri\\\"": \\\""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lkodsqshc22h\\\"", \\\""handle\\\"": \\\""bsky.app\\\"", \\\""text\\\"": \\\""THE SHIRTS ARE BACK IN STOCK\\\\n\\\\nworldwithoutcaesars.com\\\"", \\\""createdAt\\\"": \\\""2025-03-18T18:55:06.016Z\\\"", \\\""record\\\"": \\\""{\\\\\\\""uri\\\\\\\"": \\\\\\\""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lkodsqshc22h\\\\\\\"", \\\\\\\""handle\\\\\\\"": \\\\\\\""bsky.app\\\\\\\"", \\\\\\\""text\\\\\\\"": \\\\\\\""THE SHIRTS ARE BACK IN STOCK\\\\\\\\n\\\\\\\\nworldwithoutcaesars.com\\\\\\\"", \\\\\\\""createdAt\\\\\\\"": \\\\\\\""2025-03-18T18:55:06.016Z\\\\\\\"", \\\\\\\""record\\\\\\\"": \\\\\\\""{\\\\\\\\\\\\\\\""uri\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.feed.post/3lkodsqshc22h\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""handle\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""bsky.app\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""text\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""THE SHIRTS ARE BACK IN STOCK\\\\\\\\\\\\\\\\n\\\\\\\\\\\\\\\\nworldwithoutcaesars.com\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\""createdAt\\\\\\\\\\\\\\\"": \\\\\\\\\\\\\\\""2025-03-18T18:55:06.016Z\\\\\\\\\\\\\\\""}\\\\\\\""}\\\""}\""}""}"
